ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"116.106.111.212","elite","AS7552","VN","Viettel Corporation","238","Viettel Group","1080","socks4","1","85","3535","4168","2025-12-07T20:38:40.869Z","1810"
"103.81.117.122","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","161","Excogitate Technologies Pvt Ltd","4153","socks4","1","98","10916","11112","2025-12-07T20:38:40.875Z","4981"
"117.54.12.7","elite","AS9340","ID","PT IndoInternet","164","N/A","5678","socks4","2","98","10821","11079","2025-12-07T20:38:40.876Z","3579"
"104.16.105.225","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","23788","100","4","4","2025-12-07T20:38:40.889Z","3982"
"122.141.111.80","elite","AS4837","CN","CNC Group CHINA169 Jilin Province Network","217","N/A","38801","socks5","1","54","5947","10963","2025-12-07T20:38:40.875Z","1989"
"37.19.65.75","elite","AS22773","US","Cox Communications Inc.","93","siaIT","5432","socks5","1","99","10806","10965","2025-12-07T20:38:40.877Z","4699"
"197.234.13.67","elite","AS36902","SC","Intelvision","123","Intelvision Ltd","4145","socks4","1","99","10998","11088","2025-12-07T20:38:40.867Z","3083"
"185.244.30.43","elite","AS208476","BY","Freedom for Belarus","27","The PRIVACYFIRST Project","24301","socks4","1","69","7697","11098","2025-12-07T20:38:40.876Z","3003"
"172.64.148.34","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","23503","100","4","4","2025-12-07T20:38:40.971Z","4702"
"108.162.198.79","elite","AS13335","US","Cloudflare, Inc.","19","Cloudflare, Inc.","80","http","23510","100","4","4","2025-12-07T20:38:40.965Z","3302"
"194.36.98.231","elite","AS136787","US","PacketHub S.A.","119","PacketHub","80","socks4","1","96","10572","11017","2025-12-07T20:38:40.871Z","1707"
"111.1.36.166","elite","AS56041","CN","China Mobile communications corporation","289","China Mobile","82","socks5","1","91","9976","11016","2025-12-07T20:38:40.871Z","4107"
"172.67.188.1","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","23789","100","3","3","2025-12-07T20:38:40.888Z","1097"
"103.247.13.178","elite","AS131706","ID","TERABIT","176","N/A","1080","socks5","1","83","9249","11146","2025-12-07T20:38:17.084Z","4691"
"79.9.90.134","elite","AS3269","IT","INTERBUSINESS","27","N/A","1080","socks5","1","100","11039","11070","2025-12-07T20:38:17.086Z","4196"
"165.227.187.48","elite","AS14061","US","DigitalOcean, LLC","80","DigitalOcean, LLC","7497","socks5","1","51","5677","11091","2025-12-07T20:38:17.080Z","4935"
"141.98.80.111","elite","AS43350","NL","NForce Entertainment B.V.","12","Cloud CDN","10211","socks4","1","35","3914","11032","2025-12-07T20:38:17.086Z","4911"
"103.215.148.25","elite","AS135207","IN","Cloudnet Communications Pvt Ltd","155","Cloudnet Communications Pvt Ltd","43928","socks4","1","71","7806","11036","2025-12-07T20:38:17.078Z","4384"
"112.87.89.192","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","176","N/A","8089","socks4","1","56","6179","11011","2025-12-07T20:38:17.079Z","4579"
"154.194.132.199","elite","AS139880","HK","OWGELS INTERNATIONAL CO., LIMITED","182","Starbow Ltd","1080","socks4","1","99","2571","2584","2025-12-07T20:38:17.077Z","4809"
"222.74.65.84","elite","AS4134","CN","Chinanet","283","Chinanet NM","38051","socks5","1","90","9966","11060","2025-12-07T20:38:17.076Z","208"
"109.73.176.20","elite","AS49924","IT","ECROM-MAIN","57","N/A","4145","socks4","1","96","10612","11065","2025-12-07T20:38:17.080Z","4611"
"159.69.106.105","elite","AS24940","DE","Hetzner Online GmbH","20","Hetzner Online GmbH","16787","socks5","1","99","10907","10970","2025-12-07T20:38:17.085Z","4093"
"103.234.26.74","elite","AS38200","BD","BTS Communications (BD) Ltd","185","Btscombd","1080","socks4","61","95","4041","4266","2025-12-07T20:38:17.078Z","4074"
"27.75.151.51","elite","AS7552","VN","Newass2011xDSLHN","245","N/A","1080","socks4","1","82","1969","2388","2025-12-07T20:38:16.885Z","4904"
"185.193.28.131","elite","AS209242","PL","Cloudflare London, LLC","7","F3 Markets N.V","80","http","25893","100","2","2","2025-12-07T20:38:16.797Z","1917"
"103.81.117.225","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","160","Excogitate Technologies Pvt Ltd","4153","socks4","1","98","10860","11070","2025-12-07T20:38:16.784Z","4808"
"24.78.155.155","elite","AS6327","CA","Shaw Communications Inc.","127","Shaw Communications Inc.","9090","socks5","1","98","10815","10999","2025-12-07T20:38:16.881Z","4900"
"107.173.185.72","elite","AS36352","US","HostPapa","93","ColoCrossing","80","socks5","1","100","11069","11093","2025-12-07T20:38:16.785Z","4086"
"178.128.222.88","elite","AS14061","SG","DigitalOcean, LLC","240","Digitalocean","3128","socks4","1","94","3512","3744","2025-12-07T20:38:16.880Z","4387"
"103.231.45.145","elite","AS59165","IN","Auspice Infratel Pvt. Ltd.","162","Auspice Infratel Pvt. Ltd.","1080","socks4","1","98","4207","4275","2025-12-07T20:38:16.880Z","4597"
"49.48.34.223","elite","AS45629","TH","Triple T Broadband Public Company Limited","172","Triple T Broadband Public Company Limited","4145","socks4","65","95","10534","11073","2025-12-07T20:38:16.884Z","1995"
"160.16.125.237","elite","AS9370","JP","SAKURA Internet Inc.","255","SAKURA Internet Inc.","3030","socks5","1","100","10994","11005","2025-12-07T20:38:16.786Z","3383"
"203.24.109.130","elite","AS209242","BZ","Cloudflare London, LLC","7","Umpire Associates LTD","80","socks5","1","100","11025","11026","2025-12-07T20:37:53.175Z","5091"
"188.165.231.180","elite","AS16276","FR","OVH SAS","14","OVH ISP","16276","socks4","1","100","11057","11058","2025-12-07T20:37:53.394Z","3191"
"83.53.207.196","elite","AS3352","ES","Telefonica de Espana SAU","37","RIMA (Red IP Multi Acceso)","4145","socks4","1","99","10878","11013","2025-12-07T20:37:53.173Z","3406"
"209.126.5.138","elite","AS40021","US","Contabo Inc.","99","Contabo Inc","63886","socks4","61","98","3015","3087","2025-12-07T20:37:53.388Z","4777"
"51.81.31.169","elite","AS16276","US","OVH SAS","93","OVH US LLC","4485","socks4","1","100","11070","11072","2025-12-07T20:37:53.384Z","3782"
"103.95.97.186","elite","AS136759","BD","Cosmopolitan Communications Limited","180","Cosmopolitan Communications Limited","31244","socks4","1","95","10517","11086","2025-12-07T20:37:53.386Z","1291"
"38.127.179.124","elite","AS174","US","Cogent Communications","88","Torlandia Trading SRL","15290","socks4","1","100","11040","11061","2025-12-07T20:37:53.392Z","124"
"171.228.158.75","elite","AS7552","VN","Viettel Corporation","261","VIETEL","10001","socks4","1","50","588","1181","2025-12-07T20:37:53.172Z","3197"
"85.26.227.178","elite","AS31205","RU","Siberia Branch of OJSC MegaFon internal .","172","CJSC Mobicom-Novosibirsk network","47886","socks4","1","67","7355","11038","2025-12-07T20:37:53.176Z","4211"
"95.38.75.146","elite","AS41881","IR","Fanava Group","96","Fanava Group","2120","socks5","1","85","9428","11082","2025-12-07T20:37:53.391Z","2498"
"203.32.121.171","elite","AS209242","VG","Cloudflare London, LLC","10","Anaga Consulting Limited","80","socks4","65","100","3689","3689","2025-12-07T20:37:53.177Z","4782"
"209.182.192.90","elite","AS22611","US","InMotion Hosting, Inc.","139","InMotion Hosting, Inc","53794","socks4","1","99","4317","4341","2025-12-07T20:37:28.466Z","3395"
"43.153.11.102","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks4","1","87","9583","11055","2025-12-07T20:37:28.374Z","2823"
"212.120.186.39","elite","AS12389","RU","Temporary","79","Uralcom Ltd","52914","socks4","1","98","10785","10987","2025-12-07T20:37:28.465Z","3890"
"85.159.210.237","elite","AS63949","GB","Akamai Technologies, Inc.","15","Linode","37093","socks5","1","71","7820","10979","2025-12-07T20:37:28.372Z","4991"
"41.220.238.13","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","213","N/A","83","socks4","1","99","2361","2376","2025-12-07T20:37:28.463Z","4182"
"103.90.228.7","elite","AS150698","VN","ONETIDC","229","Onet IDC Company","46530","socks4","1","98","3699","3760","2025-12-07T20:37:28.466Z","3499"
"177.38.5.137","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","204","Pontocom Fibra Optica Ltda","4153","socks4","1","83","9154","11012","2025-12-07T20:37:28.373Z","3776"
"202.142.167.210","elite","AS9260","PK","Multinet Broadband","143","Multinet Broadband","1080","socks4","1","98","10822","11091","2025-12-07T20:37:28.371Z","5306"
"190.111.238.127","elite","AS11014","AR","CPS","237","CPS","49017","socks4","1","100","11039","11091","2025-12-07T20:37:28.467Z","4278"
"46.241.20.54","elite","AS21127","RU","ZSTTK","94","JSC Zap-Sib TransTeleCom","4145","socks4","1","83","3649","4374","2025-12-07T20:37:27.093Z","4074"
"77.232.160.106","elite","AS44391","RU","LTD Elektrosvyaz","73","LTD Elektrosvyaz","4153","socks4","1","41","4560","11041","2025-12-07T20:37:27.098Z","2917"
"81.12.157.98","elite","AS12302","RO","Vodafone RO","36","MobiFon S.A.","5678","socks4","1","98","4253","4358","2025-12-07T20:37:27.180Z","5077"
"104.197.84.43","elite","AS396982","US","Google LLC","123","Google Cloud (us-central1)","80","socks5","1","100","11107","11107","2025-12-07T20:37:27.094Z","498"
