video_id,title,description,published_at,view_count,like_count,comment_count,duration,source
AcPPo0aX4OI,Coulthart: 'I do not think these are hoax objects',Ross Coulthart describes what he saw on his trip to Peru.,2025-12-07T13:00:31Z,2598,197,16,PT1M24S,initial_dump
QqHGHQQVzL8,Ross Coulthart Q&A: Is Marco Rubio backtracking on 'Age of Disclosure' comments? | Reality Check,"Ross Coulthart explores untold stories using a fact-based approach to address various topics, from unidentified aerial phenomena to other mysteries that often go unreported. Now, he is turning to viewers, answering their pressing questions each week. 

In this week's episode, Coulthart tackles questions about his recent trip to Peru, reaction to Secretary of State Marco Rubio's comments about the film 'Age of Disclosure,' and the search resuming for the missing airplane MH370. 

#UAP #marcorubio #ageofdisclosure 

Ross Coulthart on 'Age of Disclosure': https://www.youtube.com/watch?v=zR5I8w98srI&list=PL6PrA6lo8rJLRExhMvX6wKyNzy0hr_QM3&index=2

Ross Coulthart on MH370: https://youtu.be/lW2PWwRM3MA?si=3iJWjaQovPgT4ArS


Socials:
https://www.instagram.com/realitychecknn/
https://www.instagram.com/newsnationnow/
https://www.instagram.com/producermeagan/
 
https://x.com/rosscoulthart
https://x.com/NewsNation
https://x.com/MeaganOurada
 
https://www.tiktok.com/@realitychecknn
https://www.tiktok.com/@newsnationnow


Credits:
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: Will Tomasi
Editor: Anthony Diasio


Chapters:  
00:00-1:00 Ross's trip to Peru 
1:00-5:48 U.S. disclosure vs evidence in Peru 
5:48-10:58 Marco Rubio's comments on 'Age of Disclosure'  
10:58-14:51 Is Sean Hannity laughing at UAPs? 
14:51-19:09 Possible Varginha case connection? 
19:09-21:54 Search resuming for MH370 
21:54-23:36 Who does Ross trust most in the government? 
23:36-26:36 Cloning Dire Wolf DNA 
26:36-29:40 Robert Bigelow at a UAP hearing in Congress? 
29:40-34:00 State of the World Forum",2025-12-07T13:00:07Z,18485,1233,293,PT34M13S,initial_dump
4HxlCW1nUr8,Why the White House silence on UFOs? Trump 'distracted': Ross Coulthart | NewsNation Prime,"NewsNation special correspondent Ross Coulthart tells Natasha Zouves on ""NewsNation Prime"" the truth about UFOs may be on a side burner as the Trump administration finds itself overwhelmed with other issues. “This is the biggest story in human history. I know it’s true, and I know a lot of people in the administration know it’s true,” he says.

#Trump #UFO #UAP

""NewsNation Prime"" is America’s source for unbiased news offering a full range of perspectives from across the U.S. Weekends starting at 7p/6C. #Prime

NewsNation is your source for fact-based, unbiased news for all Americans. 

More from NewsNation: https://www.newsnationnow.com/
Get our app: https://trib.al/TBXgYpp
Find us on cable: https://trib.al/YDOpGyG
How to watch on TV or streaming: https://trib.al/Vu0Ikij",2025-12-07T03:13:02Z,60307,1557,335,PT5M19S,initial_dump
30Cl8PVj2UU,Reality Check with Ross Coulthart: Underwater UFOs | Tonight 8p/7C,"Ross Coulthart and his team of investigators explore mysterious reports of an alleged underwater UFO highway linked to unexplained sightings in the waters and skies. ""Reality Check with Ross Coulthart: Underwater UFOs,"" Tonight 8p/7C. Find us: NewsNationNow.com",2025-12-06T15:30:28Z,2515,76,10,PT32S,initial_dump
nRaSvwRemko,Are oceans havens for UFOs? New Ross Coulthart special investigates | Elizabeth Vargas Reports,"A NewsNation special report airing Saturday, “Reality Check with Ross Coulthart: Underwater UFOs,” examines the idea that alien civilizations could be hiding in the depths of Earth's oceans. Special correspondent and investigative journalist Ross Coulthart joins “Elizabeth Vargas Reports” with a preview. “There is a vast number of people who are willing to go on the record to say they have witnessed anomalous phenomena underwater doing extraordinary things,” he says.

#UAP #UFO #Oceans

Anchor Elizabeth Vargas delivers the biggest stories, without bias or opinion. Watch ""Elizabeth Vargas Reports"" every weeknight at 7p/6C on NewsNation. #VargasReports

NewsNation is your source for fact-based, unbiased news for all Americans. 

More from NewsNation: https://www.newsnationnow.com/
Get our app: https://trib.al/TBXgYpp
Find us on cable: https://trib.al/YDOpGyG
How to watch on TV or streaming: https://trib.al/Vu0Ikij",2025-12-06T01:37:07Z,94086,2118,343,PT6M11S,initial_dump
CGAe2m3r6Qg,Reality Check with Ross Coulthart: Underwater UFOs | Saturday 8p/7C,"Ross Coulthart and his team of investigators explore mysterious reports of an alleged underwater UFO highway linked to unexplained sightings in the waters and skies. ""Reality Check with Ross Coulthart: Underwater UFOs,"" Saturday 8p/7C. Find us: NewsNationNow.com",2025-12-04T18:24:38Z,2597,38,3,PT16S,initial_dump
mNUTmZN8hSA,Ross Coulthart: The US knows what Valerij Černohajev knew when he was a Soviet,"Ross Coulthart believes the U.S. knows what Valerij Černohajev knew when he was a Soviet.

Watch this full episode of ""Reality Check"": https://youtu.be/-LSUrmfl46E 

#SovietUnion #UFO #RossCoulthart",2025-12-04T17:30:14Z,7064,153,3,PT47S,initial_dump
TEwWIlBAwLs,Reality Check with Ross Coulthart: Underwater UFOs | Saturday 8p/7C,"Ross Coulthart and his team of investigators explore mysterious reports of an alleged underwater UFO highway linked to unexplained sightings in the waters and skies. ""Reality Check with Ross Coulthart: Underwater UFOs,"" Saturday 8p/7C. Find us: NewsNationNow.com",2025-12-04T15:33:34Z,13896,411,25,PT31S,initial_dump
LdtiX7jnIXk,Reality Check with Ross Coulthart: Underwater UFOs | Saturday 8p/7C,"Ross Coulthart and his team of investigators explore mysterious reports of an alleged underwater UFO highway linked to unexplained sightings in the waters and skies. ""Reality Check with Ross Coulthart: Underwater UFOs,"" Saturday 8p/7C. Find us: NewsNationNow.com",2025-12-03T20:20:13Z,6630,223,14,PT41S,initial_dump
-LSUrmfl46E,Did a former Soviet Union citizen tour a UFO and leave proof? | Reality Check,"In this episode of ""Reality Check,"" we dive into the case of an officer of public works in the former Soviet Union named Valerij Černohajev, who wrote, in very specific terms, a manuscript describing a UFO. Ross Coulthart sits down with the man who translated that manuscript, Gene Sticco, and his wife, Natalja Černohajev-Sticco, the daughter of Černohajev and an opera singer from Latvia. Together, they review Černohajev's manuscript, which includes hand drawings and findings from a UFO during the Soviet Union era. The panel discusses what he knew of the Soviet UFO program and ponders whether he saw a UFO in person. 

Read the English translation of Černohajev's manuscript here: https://www.engineeringinfinitybook.com/

#UFO #SovietUnion #ValerijČernohajev

CREDITS
Host: Ross Coulthart
Executive Producer: Andy Gipson
Editorial Producer: Meagan Ourada
Segment Producer: Christine Jenkinson
Associate Producer: William Tomasi
Editor: Allen Keefner

On ""Reality Check,"" NewsNation Special Correspondent Ross Coulthart takes a fact-based approach to tackle everything from unidentified aerial phenomena (UAPs) to mysteries often missing from the headlines. 

More Reality Check: https://www.newsnationnow.com/podcasts-newsnation/reality-check-with-ross-coulthart/ 

Email your questions to RealityCheck@NewsNationNow.com 

NewsNation is your source for fact-based, unbiased news for all Americans. 
More from NewsNation: https://www.newsnationnow.com/ 
Get our app: https://trib.al/TBXgYpp 
Find us on your screen: https://www.joinnn.com/

CHAPTERS
0:00 - Intro
3:45 - What happened what Natalja & Gene opened the package?
8:20 - Valerji Černohajev's qualificiations
10:49 - Manuscript UFO drawings
15:44 - Secrets in Natalja's house
18:30 - Receiving the manuscript
21:45 - Natalja visits her father
23:16 - What has Gene discovered about the Soviet's UFO program?
32:13 - Russian patents
34:26 - American patents
36:29 - Has Natalja contacted her father's co-workers about the Soviet program?
39:48 - U.S. agencies read manuscript
41:41 - Mount Yamantau
44:10 - Collaboration of U.S. & Soviet Union
48:31 - Have governments come to Gene about the manuscript?
49:30 - Was Valerji Černohajev desperate to get his manuscript out?
52:18 - What does Gene hope comes from these documents?
56:35 - People with a physics background look at manuscript
58:49 - U.S. defensive capabilities
1:00:15 - Writing the manuscript without Soviet documents
1:03:50 - More digging needs to be done
1:06:42 - Outro",2025-12-02T22:00:06Z,146763,4468,677,PT1H8M41S,initial_dump
